Compound,CAS,Frequency_Factor
"1,4-Dinitrobenzene",100-25-4,0.00957082409832762
"4,4'-Diaminobiphenyl methane",101-77-9,0.00995975855130785
"4,4'-Oxydianiline",101-80-4,0.64252078950005
"1,3-Diphenylguanidine",102-06-7,0.0144592830605483
Heptachlor epoxide B,1024-57-3,0.0130803794308537
Caprolactam,105-60-2,0.31976862187944
Tamoxifen,10540-29-1,0.0030665743396973
4-Chloroaniline,106-47-8,0.164412174259001
"2-Methyl-2,4-pentanediol",107-41-5,0.0443354683746998
"1,3-Benzenediamine",108-45-2,0.00278302355630653
"1-Butyl-2,3-dimethylimidazolium iodide",108203-70-9,0.00257527733755943
"2E,4E-Hexadienoic acid",110-44-1,0.0301441677588467
Ethylene glycol dimethyl ether,110-71-4,0.00361918166281291
Piperazine,110-85-0,0.0387689848121503
Decanedioic acid,111-20-6,0.245736906211937
2-Butoxyethanol,111-76-2,0.636754701880752
Tetraconazole,112281-77-3,0.0012987012987013
4-Nitropyridine-1-oxide,1124-33-0,0.000100090081072966
Chlorpheniramine maleate,113-92-8,0.000507356671740233
Cyclanilide,113136-77-9,0.000305623471882641
Tris(2-chloroethyl) phosphate,115-96-8,0.238015221903726
Lauryl gallate,1166-52-5,0.00760760760760761
Di-n-octyl phthalate,117-84-0,0.974381977671451
"3,3'-Dimethoxybenzidine",119-90-4,0.0425659472422062
"3,3'-Dimethylbenzidine",119-93-7,0.0932545544066962
Naphthalene-2-sulfonic acid,120-18-3,0.0116941529235382
Indole,120-72-9,0.000301295570955107
N-Benzyladenine,1214-39-7,0.00770142180094787
4-Chlorophenoxyacetic acid,122-88-3,0.0121084759331532
"2'-Deoxy-2',2'-difluorocytidine monohydrochloride",122111-03-9,0.00010148163182464
Tralopyril,122454-29-9,0.035201294760267
Hydroquinone,123-31-9,0.371835443037975
Diacetone alcohol,123-42-2,0.337460063897764
Hexanedioic acid,124-04-9,0.362180786380219
Maneb,12427-38-2,0.102464525765497
"4,4-Bis(4-hydroxyphenyl)valeric acid",126-00-1,0.0250126071608674
Tributyl phosphate,126-73-8,0.528664302600473
"1,4-Diaminoanthraquinone",128-95-0,0.803428339588194
Cloxyquin,130-16-5,0.000402333534500101
Clioquinol,130-26-7,0.0027969233842773
"2,2'-Dichlorobiphenyl",13029-08-8,0.000806614236741278
"4,4'-(Isopropylidenebis(4,1-phenyleneoxy))dianiline",13080-86-9,9.95321986662685e-05
Diallyl phthalate,131-17-9,0.014621357265302
Dinex,131-89-5,0.00030087253033798
Captan,133-06-2,0.000199322304165836
2-Naphthalenol,135-19-3,0.134448818897638
Acetamiprid,135410-20-7,0.0444887780548628
Dicrotophos,141-66-2,0.0377729687192603
Thiouracil,141-90-2,0.0032901296111665
"2,2,4-Trimethyl-1,3-pentanediol",144-19-4,0.00512511305396443
Endothal,145-73-3,0.00020078305391025
"Methyl 3-amino-5,6-dichloropyrazine-2-carboxylate",1458-18-0,0.135467733866933
Diphenhydramine hydrochloride,147-24-0,0.233454398708636
Gallic acid,149-91-7,0.000201349038558341
"1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)",149062-75-9,0.000146370023419204
Ethyl dichlorophosphate,1498-51-7,0.0354816076977047
Saquinavir mesylate,149845-06-7,0.000301598471901076
4-Aminobenzoic acid,150-13-0,0.320503918262077
Cycloguanil hydrochloride,152-53-4,0.00800567490879611
Acenocoumarol,152-72-7,0.00482218203737191
2-Acrylamido-2-methyl-1-propanesulfonic acid,15214-89-8,0.000199223030182289
Rutin,153-18-4,0.000197355437142293
Thiamethoxam,153719-23-4,0.164995532611933
1-Ethyl-3-methylimidazolium hexafluorophosphate,155371-19-0,0.01181062956661
Carbofuran,1563-66-2,0.622354966082819
C.I. Disperse Blue 27,15791-78-3,0.0182427768464648
3-Hydroxycarbofuran,16655-82-6,0.503081316699233
Rimonabant,168273-06-1,0.0459883548800947
Clomipramine hydrochloride,17321-77-6,0.00189431704885344
alpha-Tomatine,17406-45-0,0.0184197282335179
6-Methoxy-2-benzothiazolamine,1747-60-0,0.000455511691466748
Perfluorooctanesulfonic acid,1763-23-1,0.132727454309398
"2-Bromo-4,6-dinitroaniline",1817-73-8,0.000399640323708662
Atrazine,1912-24-9,0.000595415302173266
Trimethylenediaminetetraacetic acid,1939-36-2,0.644633110976349
Oxadiazon,19666-30-9,0.2557856272838
Diiodomethyl 4-methylphenyl sulfone,20018-09-1,0.00859801739834109
4-Chloroaniline hydrochloride,20265-96-7,0.007703081232493
"4,4'-Dibromodiphenyl ether",2050-47-7,0.00269838097141715
2-(Thiocyanomethylthio)benzothiazole,21564-17-0,0.00512099608394417
Molinate,2212-67-1,0.00712025316455696
Thiocarbazide,2231-57-4,0.00159776313161574
"1,5-Naphthalenediamine",2243-62-1,0.0556332401118658
Rafoxanide,22662-39-1,0.203131232548863
"1,1-Dimethylpiperidinium chloride",24307-26-4,0.000100877635428226
1-Hexyl-3-methylimidazolium tetrafluoroborate,244193-50-8,0.0180207389509715
"Tris(2,3-epoxypropyl)isocyanurate",2451-62-9,0.000100745516824501
1-Hydroxybenzotriazole,2592-95-2,0.186307970287091
5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,0.176399272580319
Ensulizole,27503-81-7,0.00238355348098123
Diquat,2764-72-9,1
Ethyl 4-oxo-1-piperidinecarboxylate,29976-53-2,0.212378880759344
Paraoxon,311-45-5,0.665137157107232
C.I. Solvent Orange 7,3118-97-6,0.00390078015603121
Cyclobendazole,31431-43-3,0.000590493061706525
"1,2,5,6,9,10-Hexabromocyclododecane",3194-55-6,0.152555831265509
6-Aminonicotinamide,329-89-5,0.0427710843373494
Perfluorooctanoic acid,335-67-1,0.0323683152392441
Perfluorodecanoic acid,335-76-2,0.0146089073754692
"o,p'-DDE",3424-82-6,0.00020096463022508
"5,6,7,8-Tetrahydroquinoxaline",34413-35-9,0.00189469485440766
Imazalil,35554-44-0,0.000296471983397569
Brucine,357-57-3,9.87654320987654e-05
N-Butylbenzenesulfonamide,3622-84-2,0.641315311680452
Perfluoroheptanoic acid,375-85-9,0.00121506682867558
Clofoctol,37693-01-9,0.214142427281846
Betamethasone,378-44-9,0.0245958544084102
Iodophthalein,386-17-4,0.243932038834951
"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",41481-66-7,0.0219735085737755
Oxyfluorfen,42874-03-3,0.000701543395470034
Difenzoquat metilsulfate,43222-48-6,0.00477992431786497
MEHP,4376-20-9,0.0167435331862843
(N-6)-Methyladenine,443-72-1,0.0436839456467036
Isodrin,465-73-6,0.000302084382237438
Paraquat,4685-14-7,0.488729303810094
Rhein,478-43-3,0.0234973779749899
"3,4-Diaminotoluene",496-72-0,0.000300480769230769
6-Mercaptopurine,50-44-2,9.81932443047918e-05
D-Glucitol,50-70-4,0.630228328955345
Guanabenz,5051-62-7,0.000100969305331179
5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoic acid,50594-66-6,0.0136267285757545
5-Fluorouracil,51-21-8,0.0586884918654556
Tiratricol,51-24-1,0.116867224148481
"2,4-Dinitrophenol",51-28-5,0.018261214767765
Isoproterenol hydrochloride,51-30-9,0.0123938030984508
6-Propyl-2-thiouracil,51-52-5,0.131163904971052
Thidiazuron,51707-55-2,0.00661919566743556
Bronopol,52-51-7,0.0295828319294023
Hydroxyflutamide,52806-53-8,0.0920590302178496
Estrone,53-16-7,0.000403673428196589
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",53-19-0,0.509083609354612
Tamoxifen citrate,54965-24-1,0.000601443464314354
Triadimenol,55219-65-3,0.0726375176304654
Cantharidin,56-25-7,0.00440729483282675
Chlorotrianisene,569-57-3,0.0017901541521631
Theophylline,58-55-9,0.000201694231544978
Lindane,58-89-9,0.0514661274014156
"2,3,4,6-Tetrachlorophenol",58-90-2,0.000500901622921258
Allethrin,584-79-2,0.000100351229302559
4-Chloro-3-methylphenol,59-50-7,0.125846950976485
N-Nitrosomorpholine,59-89-2,0.322664532906581
"3,5-Dimethylpyridine",591-22-0,0.0465470033465166
2-Chloro-2-nitropropane,594-71-8,0.0162025316455696
Dieldrin,60-57-1,0.708254127063532
"1,8-Dinitronaphthalene",602-38-0,0.00465728460058722
"2,2',4,4',5-Pentabromodiphenyl ether",60348-60-9,0.267059058260176
"4-Methyl-2,6-dinitrophenol",609-93-8,0.000298507462686567
"3,4-Dinitrotoluene",610-39-9,0.00881233727218105
6-Mercaptopurine monohydrate,6112-76-1,0.00221127751532817
Deethylatrazine,6190-65-4,0.541495233316608
"5,5-Dimethyl-3-(alpha,alpha,alpha-trifluoro-4-nitro-m-tolyl)hydantoin",63612-50-0,0.000694927032661571
Colchicine,64-86-8,0.616286057692308
Naftifine hydrochloride,65473-14-5,0.00373624154296678
Esfenvalerate,66230-04-4,0.510948905109489
Tetrac,67-30-1,0.540872470033405
Pentetic acid,67-43-6,0.0109522360815333
Malic acid,6915-15-7,0.698776154757205
"1-Fluoro-2,4-dinitrobenzene",70-34-8,0.0440370628673907
Endrin,72-20-8,0.017262023548194
"p,p'-DDD",72-54-8,0.0042995700429957
Rifabutin,72559-06-9,0.00198078637218976
3-Methylbut-3-en-1-ol,763-32-6,0.0100840336134454
Dimethyl sulfate,77-78-1,0.0164576016056197
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,77439-76-0,0.000441371193173459
Dibutyl butylphosphonate,78-46-6,0.019799979795939
Isophorone,78-59-1,0.324923702950153
Thiosemicarbazide,79-19-6,0.000701051577366049
Triphenylphosphine oxide,791-28-6,0.000399321154038135
Dapsone,80-08-0,0.0222377343438373
Quinalizarin,81-61-8,7e-04
Warfarin,81-81-2,0.000200601805416249
"1H-Benzo[de]isoquinoline-1,3(2H)-dione",81-83-4,0.0224491859642027
Imazapyr,81334-34-1,0.580303635637235
Imazethapyr,81335-77-5,0.0329372838020755
Clomazone,81777-89-1,0.000594530321046373
Azithromycin,83905-01-5,0.000298775022408127
meso-Hexestrol,84-16-2,0.00853540252182347
C.I. Solvent Yellow 14,842-07-9,0.259348130373925
N-Methyl-2-pyrrolidone,872-50-4,0.867769423558897
Tralkoxydim,87820-88-0,0.000506790999391851
"2,2'-Methylenebis(ethyl-6-tert-butylphenol)",88-24-4,0.701213346814965
2-Phenylphenol,90-43-7,0.941288067898153
Bicalutamide,90357-06-5,0.6981
"6-Phenyl-1,3,5-triazine-2,4-diamine",91-76-9,0.0121332670313277
Phenothiazine,92-84-2,0.000197921820880752
"2,3,5,6-Tetrachlorophenol",935-95-5,0.00288213078910753
MCPA,94-74-6,0.0951329653788259
"2,4-Dichlorophenoxybutyric acid",94-82-6,0.000199880071956826
Benzothiazole,95-16-9,0.00151837230488916
4-Chloro-2-methylaniline,95-69-2,0.00039381707197007
"4,4'-Thiobis(6-tert-butyl-m-cresol)",96-69-5,0.173691570115861
Iopanoic acid,96-83-3,0.040764717782723
Diazoxon,962-58-3,0.0084668884185062
Eugenol,97-53-0,0.0251712838844206
Tetramethylthiuram monosulfide,97-74-5,0.00594698115109364
3-(Trifluoromethyl)aniline,98-16-8,0.000591366055588409
4-Chlorophenyl methyl sulfone,98-57-7,0.775945781913817
3-Dimethylaminophenol,99-07-0,0.692346990906304
"1,3-Dinitrobenzene",99-65-0,0.0396856581532416
