Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Hexafluorenium dibromide,317-52-2,1.10685590061882e-07,5.43485119019375e-14,20365891.5742891,9.56588026521595e-08,Baseline
Tetraethylammonium bromide,71-91-0,1.10685590061882e-07,2.23366772130919e-18,495532925537.408,9.56588026521595e-08,Baseline
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,6.64113540371291e-07,2.55474956767634e-17,259952501322.989,5.73952815912957e-07,Baseline
Prifinium bromide,4630-95-9,6.64113540371291e-07,7.40882805778655e-11,89638.1364490325,5.73952815912957e-07,Baseline
1-Ethylpyridinium bromide,1906-79-2,1.32822708074258e-06,1.20606230418599e-18,11012922600537.1,1.14790563182591e-06,Baseline
Tetrapropylammonium bromide,1941-30-6,1.10685590061882e-07,8.24728732085677e-16,1342084806.26068,9.56588026521595e-08,Baseline
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,8.85484720495055e-06,5.64508936687258e-16,156859291846.007,7.65270421217275e-06,Baseline
1-Methyl-1-propylpiperidinium bromide,88840-42-0,2.21371180123764e-06,7.54747882565198e-15,2933048044.75077,1.91317605304319e-06,Baseline
Anisotropine methylbromide,80-50-2,2.21371180123764e-07,1.0889594159596e-11,203286.896535707,1.91317605304319e-07,Baseline
Tetrabutylammonium bromide,1643-19-2,5.42359391303221e-06,9.27010171058006e-06,5.85063042710978,4.68728132995581e-06,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,4.42742360247527e-07,1.62832214579084e-16,27190096345.0017,3.82635210608638e-07,Baseline
1-Butyl-4-methylpyridinium bromide,65350-59-6,0.00015706285229781,1.36637159445965e-14,114948856471.158,0.000135739840963414,Baseline
1-Butyl-3-methylpyridinium bromide,26576-85-2,0.000271954494782044,2.36587386017432e-14,114948856471.158,0.000235033678116356,Baseline
1-Butylpyridinium bromide,874-80-6,4.42742360247527e-07,9.53669492743574e-18,464251361311.579,3.82635210608638e-07,Baseline
1-Butyl-2-methylpyridinium bromide,26576-84-1,1.10685590061882e-07,9.62911624002574e-18,114948856471.158,9.56588026521595e-08,Baseline
1-Hexyl-3-methylimidazolium bromide,85100-78-3,0,0,1.78268148034769,0,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
"1-Butyl-2,3-dimethylimidazolium bromide",475575-45-2,2.95530525465224e-05,1.56067702426745e-15,189360463997.31,2.55409003081266e-05,Baseline
1-Ethyl-3-methylmidazolium bromide,65039-08-9,0.00120536607577389,1.57071237674289e-15,7674008899537.68,0.00104172436088202,Baseline
"Methylene, phenyl-",8/4/3101,8.96553279501243e-06,3.62367228362444e-07,247.415662711226,7.74836301482491e-06,Baseline
3-Hydroxybenzyl,155174-22-4,3.6526244720421e-06,5.24927422686146e-08,695.834188534289,3.15674048752126e-06,Baseline
4-Methylbenzyl radical,2348-52-9,1.43891267080446e-06,1.1813721817378e-07,121.800114565743,1.24356443447807e-06,Baseline
4-Hydroxybenzyl,88170-17-6,4.98085155278468e-06,7.15810121844744e-08,695.834188534289,4.30464611934718e-06,Baseline
3-Methylbenzyl radical,2348-47-2,7.74799130433173e-07,6.36123482474201e-08,121.800114565743,6.69611618565116e-07,Baseline
"Methyl, phenyl-",2154-56-5,8.5227904347649e-06,3.4447255041862e-07,247.415662711226,7.36572780421628e-06,Baseline
2-Methylbenzyl radical,2348-48-3,8.85484720495055e-07,7.26998265684801e-08,121.800114565743,7.65270421217276e-07,Baseline
2-OH-benzyl,155174-21-3,7.3052489440842e-06,1.04985484537229e-07,695.834188534289,6.31348097504252e-06,Baseline
"Ethyl, 2-phenyl-",17203-53-1,7.74799130433173e-07,6.94003277509862e-08,111.641998754417,6.69611618565116e-07,Baseline
1-Hexyl radical,2679-29-0,0,0,67.4296070840776,0,Baseline
Chlorisondamine chloride,69-27-2,5.53427950309409e-07,3.36673435498279e-12,1643812.34738741,4.78294013260797e-07,Baseline
Cyclohexylamine hydrochloride,4998-76-9,1.32822708074258e-06,8.74483661907589e-10,15188.7009283307,1.14790563182591e-06,Baseline
1-Benzylquinolinium chloride,15619-48-4,1.10685590061882e-07,1.00094349382432e-06,1.10581257328507,9.56588026521595e-08,NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_gOpiateK|NVS_GPCR_hM2|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_GPCR_rAdra1A|NVS_GPCR_rmAdra2B|NVS_IC_rNaCh_site2|NVS_TR_gDAT|NVS_TR_hDAT
Tetramethylammonium chloride,75-57-0,1.2175414906807e-06,2.11167193492868e-18,5765770101603.49,1.05224682917375e-06,Baseline
(3-Chloro-2-hydroxypropyl)trimethylammonium chloride,3327-22-8,4.42742360247527e-07,1.05619260238221e-19,41918714375478.3,3.82635210608638e-07,Baseline
Benzyltrimethylammonium chloride,56-93-9,6.64113540371291e-07,2.94750411791788e-15,2253138634.59645,5.73952815912957e-07,Baseline
Glycidyl trimethylammonium chloride,3033-77-0,1.26181572670545e-05,1.83362194853702e-16,688154789874.876,1.09051035023462e-05,Baseline
Chlormequat chloride,999-81-5,0,0,856740768427597,0,Baseline
2-(Dimethylamino)ethyl acrylate methochloride,44992-01-0,2.8114139875718e-05,1.30923885234253e-18,214736522869111,2.42973358736485e-05,Baseline
Diallyldimethylammonium chloride,7398-69-8,3.32056770185646e-07,1.37207328265778e-16,24201095843.9795,2.86976407956478e-07,Baseline
"1,1-Dimethylpiperidinium chloride",24307-26-4,2.4350829813614e-06,1.68211675274009e-05,1.44763018226575,2.10449365834751e-06,NVS_LGIC_rNNR_BungSens
Pralidoxime chloride,51-15-0,2.10302621117576e-06,7.89586033502788e-18,2663454167047.81,1.81751725039103e-06,Baseline
Cyperquat chloride,39794-99-5,0.000203661485713863,1.17414859427829e-11,173454609.328257,0.000176012196879973,Baseline
1-Allyl-3-methylimidazolium chloride,65039-10-3,1.32822708074258e-06,9.89028801366983e-18,1342960972326.36,1.14790563182591e-06,Baseline
1-Benzyl-3-methylimidazolium chloride,36443-80-8,3.32056770185646e-07,3.62220099532451e-07,9.16726516872641,2.86976407956478e-07,TOX21_RT_HEK293_GLO_40hr_viability
1-(2-Hydroxyethyl)-3-methylimidazolium chloride,61755-34-8,5.53427950309409e-07,1.65631087331169e-19,33413289692584.4,4.78294013260797e-07,Baseline
(2-(Methacryloyloxy)ethyl)trimethylammonium chloride,5039-78-1,1.10685590061882e-07,5.86438958092079e-19,1887418776235.24,9.56588026521595e-08,Baseline
Pranolium chloride,42879-47-0,3.32056770185646e-07,1.25611633468849e-14,264351924.272997,2.86976407956478e-07,Baseline
Methacholine chloride,62-51-1,2.21371180123764e-07,1.29561927062684e-19,17086129015097.3,1.91317605304319e-07,Baseline
"N,N-Diethyl-N-methylethanaminium chloride",10052-47-8,5.53427950309409e-07,5.0447398071502e-18,1097039632301.76,4.78294013260797e-07,Baseline
Tetraethylammonium chloride,56-34-8,9.96170310556936e-07,2.01030094917827e-17,495532925537.408,8.60929223869435e-07,Baseline
1-Methyl-1-propylpyrrolidinium chloride,528818-82-8,8.19073366457926e-06,5.22170766435714e-16,156859291846.007,7.0787513962598e-06,Baseline
1-Butyl-1-methylpyrrolidinium chloride,479500-35-1,3.32056770185646e-07,1.22124160934313e-16,27190096345.0017,2.86976407956478e-07,Baseline
1-Butyl-4-methylpyridinium chloride,112400-86-9,1.01830742856931e-05,8.85878694082368e-16,114948856471.158,8.80060984399867e-06,Baseline
1-Butyl-3-methylpyridinium chloride,125652-55-3,0.000488566194533146,4.25029190834736e-14,114948856471.158,0.000422237954906632,Baseline
N-Butylpyridinium chloride,1124-64-7,3.32056770185646e-07,7.15252119557681e-18,464251361311.579,2.86976407956478e-07,Baseline
1-Butyl-2-methylpyridinium chloride,112400-85-8,9.51896074532184e-06,8.28103996642214e-16,114948856471.158,8.22665702808571e-06,Baseline
Benzyldimethyloctylammonium chloride,959-55-7,0.000106590223229592,1.16585968615417e-09,914262.878247401,9.21194269540295e-05,Baseline
1-Hexyl-3-methylimidazolium chloride,171058-17-6,0,0,2029346659.3796,0,Baseline
1-Butyl-3-methylimidazolium chloride,79917-90-1,1.10685590061882e-07,1.3183094323206e-18,839602504148.392,9.56588026521595e-08,Baseline
"1-Butyl-2,3-dimethylimidazolium chloride",98892-75-2,3.12133363974507e-05,1.64835550877685e-15,189360463997.31,2.6975782347909e-05,Baseline
1-Ethyl-3-methylimidazolium chloride,65039-09-0,5.53427950309409e-07,7.21171890148251e-19,7674008899537.68,4.78294013260797e-07,Baseline
Chloroallyl methenamine chloride,51229-78-8,0.000300400691427947,1.75246325912676e-07,17141.6256439884,0.000259617990397961,Baseline
Methylene blue,61-73-4,2.21371180123764e-07,6.99147503714061e-06,0.316630151645797,1.91317605304319e-07,TOX21_MMP_rhodamine
Carpronium chloride,13254-33-6,3.05492228570794e-05,7.86140315180054e-18,38859758578953.6,2.6401829531996e-05,Baseline
Estrone,53-16-7,6.41976422358915e-06,4.4299882758137e-05,1.44916054487977,5.54821055382525e-06,BSK_hDFCGF_Proliferation_down|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
beta-Cyclodextrin,7585-39-9,0,0,9.66211917386785e+22,0,Baseline
Heptachlor epoxide B,1024-57-3,1.36143275776115e-05,0.000239782677566556,0.56777777760166,1.17660327262156e-05,BURST_PERCENTAGE_AVG_(SEC)|BURST_PERCENTAGE_STD_(SEC)|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ AVG|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ STD|NUMBER_OF_ELECS_PARTICIPATING_IN_BURST_AVG|NETWORK_BURST_PERCENTAGE|FULL_WIDTH_AT_HALF_HEIGHT_OF_CROSS_CORRELATION|SYNCHRONY_INDEX|MFR|BR|ISI|%SiB|BD|IBI|#AE|#ABE|#NS|NSP|NSD|%SiNS|NS-ISI|NSDsd|#SiNS|r|MI
Heptachlor epoxide A,28044-83-9,1.72669520496536e-05,1.33532100590954e-05,12.9309371853193,1.49227732137369e-05,Baseline
Strychnine,57-24-9,1.10685590061882e-07,2.72284400958192e-10,4065.07275746866,9.56588026521595e-08,Baseline
trans-Chlordane,5103-74-2,1.53852970186016e-05,1.60719889148521e-05,9.5727399391024,1.32965735686502e-05,Baseline
"alpha,beta-Thujone",76231-76-0,0,0,744.137104149766,0,Baseline
Hexahydro-4-methylphthalic anhydride,19438-60-9,1.20647293167451e-05,1.74250314029949e-08,6923.79200801412,1.04268094890854e-05,Baseline
Sparteine,90-39-1,7.74799130433173e-07,1.07664456792814e-08,719.642446089867,6.69611618565116e-07,Baseline
Alphate,2157-98-4,5.53427950309409e-06,3.67128039763317e-10,150745.214303489,4.78294013260797e-06,Baseline
2-Nitroadamantane,54564-31-7,0,0,236.409805806405,0,Baseline
2-Aminoadamantane,13074-39-0,6.64113540371291e-07,2.67420947839026e-09,2483.40134061245,5.73952815912957e-07,Baseline
1-Adamantanecarboxamide,5511-18-2,1.10685590061882e-07,1.81573555558654e-09,609.590916041335,9.56588026521595e-08,Baseline
1-Nitrosoadamantane,22734-10-7,0,0,136.524325737826,0,Baseline
"Piperazine, 1-(1-adamantyl)-",19984-46-4,1.10685590061882e-07,1.23492501034839e-09,896.294018943351,9.56588026521595e-08,Baseline
4-(1-Adamantyl)-3-thiosemicarbazide,52662-65-4,0,0,571.101344587094,0,Baseline
1-Adamantanesulfamoyl azide,33713-04-1,2.32439739129952e-06,3.57005767592778e-08,651.081187559655,2.00883485569535e-06,Baseline
"Tricyclo(3.3.1.13,7)dec-1-ylmethylamine",17768-41-1,1.10685590061882e-07,1.34313418384187e-09,824.084379605913,9.56588026521595e-08,Baseline
3-(1-aminoethyl)adamantan-1-ol,90812-24-1,5.53427950309409e-07,2.28321314985727e-10,24238.9962734756,4.78294013260797e-07,Baseline
"1,4-Epoxycyclohexane",279-49-2,6.32014719253345e-05,8.92773167418622e-08,7079.23067491782,5.4621176314383e-05,Baseline
Bicyclo(2.2.1)heptane-1-carboxylic acid,18720-30-4,0.00041053285353952,4.42331934667651e-07,9281.10365461125,0.000354798499036859,Baseline
"(3,3-Dimethyl-2-oxabicyclo[2.2.2]octan-1-yl)methanol",135521-14-1,1.32822708074258e-06,1.19817773533503e-08,1108.5392772477,1.14790563182591e-06,Baseline
norbornyl amine,21245-51-2,3.43125329191834e-06,1.41559215291151e-09,24238.9962734756,2.96542288221694e-06,Baseline
1-Azabicyclo[3.3.1]nonane,280-77-3,0.000378544718011636,2.19913779624087e-06,1721.33241790808,0.000327153105070385,Baseline
1-Azabicyclo[3.2.1]octane,279-92-5,0.000529741234036166,2.6026038624346e-07,20354.2783318788,0.000457823029493235,Baseline
1-Azabicyclo[2.2.2]octan-2-amine,195311-06-9,0.000411971766210324,1.84754979918759e-08,222982.766901048,0.000356042063471337,Baseline
"1,2-Diazabicyclo(2.2.2)octane",329-94-2,0.00113674100993553,1.6961522685057e-08,670188.066863237,0.000982415903237677,Baseline
"3,7-Diazabicyclo(3.3.1)nonane",280-74-0,1.56066681987253e-05,2.30675396758136e-10,676564.055727582,1.34878911739545e-05,Baseline
3-Thia-7-azabicyclo[3.3.1]nonane,329-95-3,1.14006157763738e-05,2.33166404392969e-09,48894.7616877075,9.85285667317242e-06,Baseline
