Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Tetrabutylammonium bromide,1643-19-2,7.06213694234449e-07,1.20707281554155e-06,5.85063042710978,2.86566968653668e-06,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
Domiphen bromide,538-71-6,0,0,4.66138461929374,0,TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_PR_BLA_Agonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_FLO_24hr_viability|TOX21_RT_HEK293_FLO_32hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability|TOX21_RT_HEPG2_GLO_24hr_ctrl_viability|TOX21_TR_LUC_GH3_Antagonist_viability|TOX21_VDR_BLA_antagonist_viability
1-Hexyl-3-methylimidazolium bromide,85100-78-3,0,0,1.78268148034769,0,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
1-Benzylquinolinium chloride,15619-48-4,1.44125243721316e-08,1.30334242170134e-07,1.10581257328507,5.84830548272791e-08,NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_gOpiateK|NVS_GPCR_hM2|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_GPCR_rAdra1A|NVS_GPCR_rmAdra2B|NVS_IC_rNaCh_site2|NVS_TR_gDAT|NVS_TR_hDAT
"1,1-Dimethylpiperidinium chloride",24307-26-4,3.17075536186895e-07,2.19030758042518e-06,1.44763018226575,1.28662720620014e-06,NVS_LGIC_rNNR_BungSens
1-Benzyl-3-methylimidazolium chloride,36443-80-8,4.32375731163948e-08,4.7165182113306e-08,9.16726516872641,1.75449164481837e-07,TOX21_RT_HEK293_GLO_40hr_viability
Bethanechol chloride,590-63-6,1.29712719349185e-07,6.58598586967583e-07,1.96952623215344,5.26347493445512e-07,TOX21_RT_HEPG2_FLO_08hr_viability|TOX21_RT_HEPG2_FLO_16hr_ctrl_viability
Dodecyltrimethylammonium chloride,112-00-5,0,0,1.03343371913131,0,NVS_ENZ_rMAOBC|NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_hDRD1|NVS_GPCR_hDRD2s|NVS_GPCR_hM1|NVS_GPCR_hM2|NVS_GPCR_hM3|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_IC_hKhERGCh|NVS_IC_rCaBTZCHL|NVS_IC_rNaCh_site2|NVS_TR_hNET|NVS_TR_rSERT
Benzyldimethyldodecylammonium chloride,139-07-1,0,0,3.9465227750746,0,ATG_XTT_Cytotoxicity_up|TOX21_ARE_BLA_agonist_viability|TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability|TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_ESRE_BLA_viability|TOX21_HSE_BLA_agonist_viability|TOX21_PPARd_BLA_Agonist_viability|TOX21_PPARd_BLA_antagonist_viability|TOX21_PPARg_BLA_antagonist_viability|TOX21_PR_BLA_Agonist_viability|TOX21_RT_HEK293_FLO_32hr_viability|TOX21_RT_HEK293_FLO_40hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability|TOX21_RT_HEPG2_FLO_40hr_ctrl_viability|TOX21_RT_HEPG2_GLO_16hr_ctrl_viability|TOX21_RT_HEPG2_GLO_32hr_ctrl_viability|TOX21_RT_HEPG2_GLO_40hr_viability|TOX21_VDR_BLA_antagonist_viability
Methylene blue,61-73-4,2.88250487442632e-08,9.10369672453329e-07,0.316630151645797,1.16966109654558e-07,TOX21_MMP_rhodamine
