Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Decamethonium bromide,541-22-0,6.72922024494895e-09,6.57034186967756e-21,10241811428419.9,5.98221958712096e-09,Baseline
Hexafluorenium dibromide,317-52-2,3.36461012247447e-09,1.65208093650176e-15,20365891.5742891,2.99110979356048e-09,Baseline
Choline bromide,6/6/1927,1.31219794776504e-07,3.48009878744046e-21,377057672184685,1.16653281948859e-07,Baseline
Tetraethylammonium bromide,71-91-0,3.36461012247447e-09,6.78988206247957e-20,495532925537.408,2.99110979356048e-09,Baseline
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,2.01876607348468e-08,7.76590362935719e-19,259952501322.989,1.79466587613629e-08,Baseline
Prifinium bromide,4630-95-9,2.01876607348468e-08,2.25212856207975e-12,89638.1364490325,1.79466587613629e-08,Baseline
1-Ethylpyridinium bromide,1906-79-2,4.03753214696937e-08,3.66617681193223e-20,11012922600537.1,3.58933175227258e-08,Baseline
Diethylmethyl(2-3-methyl-2-phenylvaleryloxy)-ethyl)ammonium bromide,90-22-2,3.36461012247447e-09,7.11054919994853e-15,4731856.89018062,2.99110979356048e-09,Baseline
Tetrapropylammonium bromide,1941-30-6,3.36461012247447e-09,2.50700261770266e-17,1342084806.26068,2.99110979356048e-09,Baseline
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,2.69168809797958e-07,1.71598893906909e-17,156859291846.007,2.39288783484839e-07,Baseline
1-Methyl-1-propylpiperidinium bromide,88840-42-0,6.72922024494895e-08,2.29427549166545e-16,2933048044.75077,5.98221958712096e-08,Baseline
Anisotropine methylbromide,80-50-2,6.72922024494895e-09,3.31020855727755e-13,203286.896535707,5.98221958712096e-09,Baseline
Tetrabutylammonium bromide,1643-19-2,1.64865896001249e-07,2.81791677076915e-07,5.85063042710978,1.46564379884464e-07,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
Butylscopolammonium bromide,149-64-4,1.34584404898979e-08,3.15515879050008e-17,4265535075.57848,1.19644391742419e-08,Baseline
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,1.34584404898979e-08,4.94975829402383e-18,27190096345.0017,1.19644391742419e-08,Baseline
1-Butyl-4-methylpyridinium bromide,65350-59-6,4.77438176379128e-06,4.15348347983715e-16,114948856471.158,4.24438479706232e-06,Baseline
1-Butyl-3-methylpyridinium bromide,26576-85-2,8.26684707091978e-06,7.19176103591253e-16,114948856471.158,7.3491567627781e-06,Baseline
1-Butylpyridinium bromide,874-80-6,1.34584404898979e-08,2.89895552527316e-19,464251361311.579,1.19644391742419e-08,Baseline
1-Butyl-2-methylpyridinium bromide,26576-84-1,3.36461012247447e-09,2.92704966866607e-19,114948856471.158,2.99110979356048e-09,Baseline
Benzyldodecyldimethylammonium bromide,4/1/7281,3.36461012247447e-09,4.34563585603763e-12,7742.50359196534,2.99110979356048e-09,Baseline
Domiphen bromide,538-71-6,0,0,4.66138461929374,0,TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_PR_BLA_Agonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_FLO_24hr_viability|TOX21_RT_HEK293_FLO_32hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability|TOX21_RT_HEPG2_GLO_24hr_ctrl_viability|TOX21_TR_LUC_GH3_Antagonist_viability|TOX21_VDR_BLA_antagonist_viability
1-Dodecyl-3-methylimidazolium bromide,61546-00-7,0,0,377617.010911911,0,Baseline
1-Hexyl-3-methylimidazolium bromide,85100-78-3,0,0,1.78268148034769,0,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
"1-Butyl-2,3-dimethylimidazolium bromide",475575-45-2,8.98350902700684e-07,4.74413129191237e-17,189360463997.31,7.98626314880649e-07,Baseline
1-Ethyl-3-methylmidazolium bromide,65039-08-9,3.6640604233747e-05,4.77463666167424e-17,7674008899537.68,3.25731856518736e-05,Baseline
Aragonite,14791-73-2,5.46076222877607e-06,2.179331650931e-12,25057050.0659836,4.85457119494866e-06,Baseline
Fosfomycin calcium,26016-98-8,9.38726224170378e-07,7.71164288109144e-16,12172843564.5287,8.34519632403374e-07,Baseline
