Compound,CAS,Frequency_Factor
"1,4-Dinitrobenzene",100-25-4,0.0386420369445831
"4,4'-Diaminobiphenyl methane",101-77-9,0.032496456772626
"4,4'-Oxydianiline",101-80-4,0.794861581358295
"1,3-Diphenylguanidine",102-06-7,0.0469167573987924
Heptachlor epoxide B,1024-57-3,0.0393951452447274
Caprolactam,105-60-2,0.434149302043294
4-Chloroaniline,106-47-8,0.267421083978559
"2-Methyl-2,4-pentanediol",107-41-5,0.0962178517397882
"1,3-Benzenediamine",108-45-2,0.0133692507233363
"1-Butyl-2,3-dimethylimidazolium iodide",108203-70-9,0.012318696602424
"2E,4E-Hexadienoic acid",110-44-1,0.0612632420547671
Ethylene glycol dimethyl ether,110-71-4,0.0153737942122187
Mepanipyrim,110235-47-7,0.00138230647709321
2-Butoxyethanol,111-76-2,0.777822990844354
Tetraconazole,112281-77-3,0.00759339880530525
4-Nitropyridine-1-oxide,1124-33-0,0.00131193864163891
Chlorpheniramine maleate,113-92-8,0.0029281098546042
Tris(2-chloroethyl) phosphate,115-96-8,0.342483401050441
Aldicarb,116-06-3,0.00070778564206269
"3,3'-Dimethoxybenzidine",119-90-4,0.0967486905820733
"3,3'-Dimethylbenzidine",119-93-7,0.185577407967726
Indole,120-72-9,0.00415594696220067
4-Chlorophenoxyacetic acid,122-88-3,0.0408918216356729
Tralopyril,122454-29-9,0.0862933975516757
Hydroquinone,123-31-9,0.481165243596183
Diacetone alcohol,123-42-2,0.453490718321227
Tributyl phosphate,126-73-8,0.66810086051631
"2,6-Di-tert-butylphenol",128-39-2,0.00020167389331451
"1,4-Diaminoanthraquinone",128-95-0,0.948123620309051
Cloxyquin,130-16-5,0.00833250669576431
Clioquinol,130-26-7,0.00964436407474382
"2,2'-Dichlorobiphenyl",13029-08-8,0.00451037385987772
"4,4'-(Isopropylidenebis(4,1-phenyleneoxy))dianiline",13080-86-9,0.00130850528434826
Diallyl phthalate,131-17-9,0.0521539688871161
Captan,133-06-2,0.00188305252725471
2-Naphthalenol,135-19-3,0.232796780684105
Acetamiprid,135410-20-7,0.105826517217005
Imidacloprid,138261-41-3,0.000152485513876182
Dicrotophos,141-66-2,0.0961479513640544
Thiouracil,141-90-2,0.0173843540813268
"L-3,4-Dihydroxyphenylalanine methyl ester hydrochloride",1421-65-4,0.000101791530944625
"2,2,4-Trimethyl-1,3-pentanediol",144-19-4,0.0149688567410086
"Methyl 3-amino-5,6-dichloropyrazine-2-carboxylate",1458-18-0,0.240371042548901
Diphenhydramine hydrochloride,147-24-0,0.332860615883306
Ethyl dichlorophosphate,1498-51-7,0.0884195634599838
Cycloguanil hydrochloride,152-53-4,0.0303478175189674
Thiamethoxam,153719-23-4,0.272464634389321
1-Ethyl-3-methylimidazolium hexafluorophosphate,155371-19-0,0.0368547901184977
"3,6,9,12-Tetraoxahexadecan-1-ol",1559-34-8,0.000101409593347531
Carbofuran,1563-66-2,0.766706682673069
Tetrabutylammonium bromide,1643-19-2,0.000198216055500496
Aldoxycarb,1646-88-4,0.000491303920605287
