Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Tetrabutylammonium bromide,1643-19-2,5.4314154695336e-06,9.28347045194705e-06,5.85063042710978,9.57229426404685e-05,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
1-Hexyl-3-methylimidazolium bromide,85100-78-3,0,0,1.78268148034769,0,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
1-Benzylquinolinium chloride,15619-48-4,1.10845213663951e-07,1.00238698981926e-06,1.10581257328507,1.95352944164221e-06,NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_gOpiateK|NVS_GPCR_hM2|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_GPCR_rAdra1A|NVS_GPCR_rmAdra2B|NVS_IC_rNaCh_site2|NVS_TR_gDAT|NVS_TR_hDAT
"1,1-Dimethylpiperidinium chloride",24307-26-4,2.43859470060692e-06,1.6845425927706e-05,1.44763018226575,4.29776477161287e-05,NVS_LGIC_rNNR_BungSens
1-Benzyl-3-methylimidazolium chloride,36443-80-8,3.32535640991853e-07,3.62742469942158e-07,9.16726516872641,5.86058832492665e-06,TOX21_RT_HEK293_GLO_40hr_viability
Methylene blue,61-73-4,2.21690427327902e-07,7.00155769043434e-06,0.316630151645797,3.90705888328443e-06,TOX21_MMP_rhodamine
Estrone,53-16-7,6.42902239250916e-06,4.43637691850254e-05,1.44916054487977,0.000113304707615248,BSK_hDFCGF_Proliferation_down|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
Heptachlor epoxide B,1024-57-3,1.3633961280666e-05,0.000240128476641987,0.56777777760166,0.000240284121321992,BURST_PERCENTAGE_AVG_(SEC)|BURST_PERCENTAGE_STD_(SEC)|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ AVG|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ STD|NUMBER_OF_ELECS_PARTICIPATING_IN_BURST_AVG|NETWORK_BURST_PERCENTAGE|FULL_WIDTH_AT_HALF_HEIGHT_OF_CROSS_CORRELATION|SYNCHRONY_INDEX|MFR|BR|ISI|%SiB|BD|IBI|#AE|#ABE|#NS|NSP|NSD|%SiNS|NS-ISI|NSDsd|#SiNS|r|MI
Stilonium iodide,77257-42-2,6.65071281983706e-07,1.94812690632908e-06,3.41390121877081,1.17211766498533e-05,TOX21_AR_BLA_Antagonist_viability|TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability
"1-Butyl-2,3-dimethylimidazolium iodide",108203-70-9,3.48053970904806e-05,0.000100552786086333,3.46140554082681,0.000613408244675656,TOX21_RT_HEPG2_GLO_40hr_viability
Imidacloprid,138261-41-3,1.10845213663951e-07,2.3005941947036e-06,0.48181123780603,1.95352944164221e-06,NVS_LGIC_hNNR_NBungSens|#SiNS|SH-S5Y5 neurite outgrowth
"1,3-Dinitrobenzene",99-65-0,1.33014256396741e-05,0.000622934189385956,0.213528585624522,0.000234423532997066,NVS_ENZ_rMAOAC|NVS_ENZ_rMAOAP|NVS_ENZ_rMAOBC|NVS_ENZ_rMAOBP
4-Nitropyridine-1-oxide,1124-33-0,2.60486252110285e-05,2.64668435381405e-05,9.84198405582089,0.00045907941878592,TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Agonist_viability
"1,4-Dinitrobenzene",100-25-4,0.000189323624938028,0.000212848608598433,8.89475511184627,0.0033366282863249,BSK_3C_Proliferation_down|BSK_SAg_Proliferation_down|BSK_hDFCGF_Proliferation_down|TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_PXR_viability
"1-Fluoro-2,4-dinitrobenzene",70-34-8,2.4940173074389e-05,0.000721504671195282,0.345668906523804,0.000439544124369498,TOX21_MMP_ratio_down
"1,8-Dinitronaphthalene",602-38-0,2.77113034159878e-05,0.000133788440216472,2.07127786011634,0.000488382360410554,TOX21_MMP_rhodamine
