Compound,CAS,Frequency_Factor
4-Hydroxybutyl prop-2-enoate,10/6/2478,0.872263132056947
"1,4-Dichlorophthalazine",10/7/4752,0.0002997002997003
4-Vinylpyridine,100-43-6,0.00807014048022317
Cyclohexanemethanol,100-49-2,0.00040326645831233
Benzaldehyde,100-52-7,0.0715951729033567
Anisole,100-66-3,0.00130876875062922
Quinuclidine,100-76-5,0.00323815130997939
Methenamine,100-97-0,0.770523332321085
1H-Pyrrole-2-carboxaldehyde,1003-29-8,0.0376150460184074
1-(piperidin-1-yl)prop-2-en-1-one,10043-37-5,0.0019667617268168
"4,4'-Oxydianiline",101-80-4,9.94727941907888e-05
"2-Chloro-1,4-naphthoquinone",1010-60-2,0.000199044585987261
2-Methoxybenzenesulfonyl chloride,10130-87-7,0.136781722876076
"1-Propene, 3-(methylthio)-",10152-76-8,0.0572427572427572
"2,2-Dibromo-3-nitrilopropionamide",10222-01-2,0.000598324690865576
Heptachlor epoxide B,1024-57-3,0.315097583173223
"1,5-Dibromo-2-(2,4-dibromophenoxy)-3-methoxybenzene",102739-99-1,0.409022405304933
"1H,1H,8H-Perfluoro-1-octanol",10331-08-5,0.553099567969457
Diethylene glycol monophenyl ether,104-68-7,0.000198906016907011
2-Ethyl-1-hexanol,104-76-7,0.0157472516589086
4-Methylbenzaldehyde,104-87-0,0.0424528301886792
"2,3,5-Trichlorophenyl methyl sulfone",104380-10-1,9.97605746209098e-05
"Dibenzo(b,e)(1,4)dioxin, 1,2,3,4-tetrabromo-",104549-41-9,0.880622489959839
Hex-1-yn-3-ol,105-31-7,0.000101812258195887
Ethyl propionate,105-37-3,9.86679822397632e-05
1-(2-Chloroethoxy)butane,10503-96-5,0.00588293947552099
3-Heptanone,106-35-4,0.000101512536798295
p-Xylene,106-42-3,0.000406338886631451
4-Chloroaniline,106-47-8,0.0395525369556532
"1H-Imidazole, 1-ethenyl-",1072-63-5,0.166866028708134
"3,5-dichlorophenylthiourea",107707-33-5,0.000301477238468496
Mobam,1079-33-0,0.0252569750367107
Vinyl acetate,108-05-4,0.0136171071212427
4-Methyl-2-pentanone,108-10-1,0.236331220285262
4-Methyl-2-pentanol,108-11-2,0.1142234979709
Isopropyl ether,108-20-3,0.141686650679456
Isopropyl acetate,108-21-4,0.0631290027447392
Isopropyl chloroformate,108-23-6,0.0526421136909528
Resorcinol,108-46-3,0.000301507537688442
"2,6-Dimethylpyridine",108-48-5,0.160456730769231
"2,6-Dimethylpyrazine",108-50-9,0.0353733293136368
Toluene,108-88-3,0.000997008973080758
Cyclohexanol,108-93-0,0.196332469603349
Cyclohexanone,108-94-1,0.0184092046023012
Phenol,108-95-2,0.290012155591572
2-Methylpyrazine,109-08-0,0.00359928014397121
