Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Decamethonium bromide,541-22-0,8.51000814533218e-09,8.30908497467337e-21,10241811428419.9,5.98221958712096e-09,Baseline
Hexafluorenium dibromide,317-52-2,4.25500407266609e-09,2.08927954720029e-15,20365891.5742891,2.99110979356048e-09,Baseline
Choline bromide,6/6/1927,1.65945158833978e-07,4.40105509251372e-21,377057672184685,1.16653281948859e-07,Baseline
Tetraethylammonium bromide,71-91-0,4.25500407266609e-09,8.58672320926307e-20,495532925537.408,2.99110979356048e-09,Baseline
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,2.55300244359966e-08,9.82103434514587e-19,259952501322.989,1.79466587613629e-08,Baseline
Prifinium bromide,4630-95-9,2.55300244359966e-08,2.84812083866923e-12,89638.1364490325,1.79466587613629e-08,Baseline
1-Ethylpyridinium bromide,1906-79-2,5.10600488719931e-08,4.63637589439725e-20,11012922600537.1,3.58933175227258e-08,Baseline
Diethylmethyl(2-3-methyl-2-phenylvaleryloxy)-ethyl)ammonium bromide,90-22-2,4.25500407266609e-09,8.99225012805423e-15,4731856.89018062,2.99110979356048e-09,Baseline
Tetrapropylammonium bromide,1941-30-6,4.25500407266609e-09,3.17044351654752e-17,1342084806.26068,2.99110979356048e-09,Baseline
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,3.40400325813287e-07,2.17009985068318e-17,156859291846.007,2.39288783484839e-07,Baseline
1-Methyl-1-propylpiperidinium bromide,88840-42-0,8.51000814533218e-08,2.90142132535552e-16,2933048044.75077,5.98221958712096e-08,Baseline
Anisotropine methylbromide,80-50-2,8.51000814533218e-09,4.18620594359725e-13,203286.896535707,5.98221958712096e-09,Baseline
Tetrabutylammonium bromide,1643-19-2,2.08495199560638e-07,2.47632357577753e-13,8419545.87841672,1.46564379884464e-07,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability
Butylscopolammonium bromide,149-64-4,1.70200162906644e-08,3.9901245656399e-17,4265535075.57848,1.19644391742419e-08,Baseline
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,1.70200162906644e-08,6.25963809568962e-18,27190096345.0017,1.19644391742419e-08,Baseline
1-Butyl-4-methylpyridinium bromide,65350-59-6,6.03785077911318e-06,5.25264101311711e-16,114948856471.158,4.24438479706232e-06,Baseline
1-Butyl-3-methylpyridinium bromide,26576-85-2,1.04545450065406e-05,9.09495346668692e-16,114948856471.158,7.3491567627781e-06,Baseline
1-Butylpyridinium bromide,874-80-6,1.70200162906644e-08,3.66612092263559e-19,464251361311.579,1.19644391742419e-08,Baseline
1-Butyl-2-methylpyridinium bromide,26576-84-1,4.25500407266609e-09,3.70164976259134e-19,114948856471.158,2.99110979356048e-09,Baseline
